ip,time,request,status,size,referer,user_agent,method,url,protocol,num_params
127.0.0.1,19/Nov/2024:16:00:35 -0300,GET / HTTP/1.1,200,3460,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:00:35 -0300,GET /icons/ubuntu-logo.png HTTP/1.1,200,3607,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/icons/ubuntu-logo.png,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:00:36 -0300,GET /favicon.ico HTTP/1.1,404,487,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/favicon.ico,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:08:59 -0300,GET /index.html HTTP/1.1,200,3460,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/index.html,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:09:11 -0300,GET /manual.html HTTP/1.1,404,488,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/manual.html,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:17:09 -0300,GET /manual-en-us HTTP/1.1,404,488,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/manual-en-us,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:17:13 -0300,GET /manual HTTP/1.1,404,487,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/manual,HTTP/1.1,0
127.0.0.1,19/Nov/2024:16:18:39 -0300,GET /manuaol HTTP/1.1,404,488,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0,GET,/manuaol,HTTP/1.1,0
